6910 537 3713 2925 72 1504 8 3564 5383 5978 1036 3206 1041 496 72 8 1930 3044 6364 1630
4008 4491 2238 2182 435 5243 6009 5860 4490 1262 2787 5068 2350 373 1246 3418 1018 6536 4880 7
635 2398 72 6220 97 5674 6235 6627 1035 1266 5656 1193 36 97 3804 8 5314 1436 1326 6372
6472 566 1666 2318 962 6484 2423 401 286 3510 5825 1605 2054 6362 1973 2508 4008 650 53 4433
5022 28 2236 1248 3682 2377 6248 611 3720 1932 478 1483 1302 338 3337 97 2214 5823 644 4913
6566 2168 2280 2273 1621 8 6267 5899 168 3804 6434 209 1038 4310 60 4871 1563 751 6484 0
2294 1802 6539 2397 5804 4008 5393 3564 1909 3 654 170 1813 2170 6818 619 8 2274 1292 0
6525 8 6197 4638 2080 3813 2412 97 1326 6033 2374 1688 5769 4074 2422 2238 2924 1032 562 1491
601 1259 4505 1512 454 3462 2384 72 6536 4826 4272 1615 6472 1032 1253 3579 2215 4670 6485 2410
3682 5874 28 122 3896 930 235 3679 3723 3466 5623 1250 482 80 2697 1646 3764 6292 5787 0
1460 2924 3015 2783 3724 5223 3382 4727 601 1056 6679 3606 6031 482 3682 5810 2794 1559 2876 3039
1072 6536 362 6473 5811 5854 1608 5589 2487 711 1915 1237 2794 6 346 3732 3318 1437 39 0
1093 5820 70 8 4604 597 2259 2238 6033 1888 5927 5820 4670 2236 540 6268 6809 4725 2236 338
69 2188 5887 693 1893 4868 3961 3432 1776 5214 3300 521 536 2351 84 549 5318 4919 6032 4352
4865 521 1093 1687 2473 2274 1449 3724 1461 1866 36 1562 3032 887 3 3015 5802 4705 5775 4544
5 2226 3482 4621 2794 3943 2212 28 3382 1537 6345 6362 4198 2805 1255 592 1219 2535 1075 2662
1317 2290 1290 2 1101 857 6472 5214 4005 576 4122 1029 1778 6369 3564 2171 5866 1283 1042 6287
6 1262 3804 1097 2976 6757 20 5314 6278 4638 72 865 842 5314 1723 3434 887 173 4668 0
320 6289 2268 984 5804 1594 4065 3015 353 1057 528 3657 2236 1859 1035 6197 984 1785 4731 415
5820 97 6627 6848 4371 4731 2324 5656 3020 1287 72 6220 6186 6031 214 2238 2191 124 3363 2049
391 431 3793 2442 2837 33 4490 1764 3913 6913 72 1326 2158 4288 1350 4544 3711 4110 2378 0
1072 632 1290 1884 1448 1863 8 1286 6431 1867 2718 887 548 5387 3344 1630 1628 4508 5314 0
414 6036 2711 4919 4335 3125 6 4490 2182 6122 6473 2423 6757 6475 3572 5230 611 1644 2697 5459
2434 2167 1023 13 235 3713 5236 344 3870 3008 6436 6105 4865 4727 2515 5823 2259 1371 4433 1990
620 348 4919 344 1883 5609 1950 2340 540 20 2422 1093 97 2396 173 1285 4604 619 28 6327
635 173 3813 97 1502 346 1537 3241 1326 2163 2401 47 2397 3951 1764 4198 5916 6312 6761 1503
1331 4751 2508 74 1041 4826 1018 4008 2359 97 158 610 6329 338 6171 4692 5401 5820 4670 0
1290 5770 63 6761 6171 6337 3951 631 6354 5223 2269 4198 5318 2487 35 8 521 5608 0 3951
1260 6036 3813 3 1206 5608 1653 636 1221 415 628 1988 3340 3573 3213 2501 2340 3341 97 0
